"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"6738","{""What is your age? (numeric)"":""23"",""What is your gender? (\""Male\""/\""Female\"")"":""Female""}","survey-text","0","0","6754","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","","","","","","","",""
"6708","","instructions","0","1","14484","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","[{""page_index"":0,""viewing_time"":6708}]","","","","","","","",""
"5895","","text","0","2","21458","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","86","","","","","","",""
"3795","","same-different","0","3","37851","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","10872","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","86","demo"
"3298","","same-different","1","4","46171","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","3271","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","86","demo"
"1531","","same-different","2","5","55537","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","6101","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","86","demo"
"8336","","same-different","3","6","69645","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","4066","different","false","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","86","demo"
"5348","","text","0","7","76120","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","86","","","","","","",""
"1800","","same-different","0","8","87875","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","8189","different","true","The plus is not below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","86","real"
"4282","","same-different","1","9","98029","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","4131","different","true","The square is below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","86","real"
"1871","","same-different","2","10","113139","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","11386","same","true","The circle is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","86","real"
"13269","","same-different","3","11","132469","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","4330","same","true","The circle is not below the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","86","real"
"2424","","same-different","4","12","139198","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","2619","same","true","The plus is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","86","real"
"1883","","same-different","5","13","145086","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","2294","different","true","The square is below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","86","real"
"1384","","same-different","6","14","152566","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","4377","same","true","The plus is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","86","real"
"935","","same-different","7","15","159975","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","4754","same","true","The circle is above the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","86","real"
"1218","","same-different","8","16","164763","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","1853","same","true","The circle is above the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","86","real"
"2001","","same-different","9","17","171264","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","2772","different","true","The square is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","86","real"
"1818","","same-different","10","18","178346","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","3513","different","true","The square is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","86","real"
"1676","","same-different","11","19","189290","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","7551","different","true","The star is not above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","86","real"
"2252","","same-different","12","20","195571","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","2308","same","false","The circle is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","86","real"
"1878","","same-different","13","21","201710","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","67","2513","same","true","The circle is not below the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","86","real"
"1777","","same-different","14","22","222276","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","17051","different","true","The star is not above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","86","real"
"2488","","same-different","15","23","229828","0-0","6fc0197a-05b5-43c7-94f3-d3cc65554497","","78","3350","different","true","The plus is not below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","86","real"
