"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"12480","{""What is your age? (numeric)"":""53"",""What is your gender? (\""Male\""/\""Female\"")"":""Male""}","survey-text","0","0","12487","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","","","","","","","",""
"26731","","instructions","0","1","40222","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","[{""page_index"":0,""viewing_time"":26730}]","","","","","","","",""
"3781","","text","0","2","45138","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","32","","","","","","",""
"2396","","same-different","0","3","56787","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","7511","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","32","demo"
"2621","","same-different","1","4","63627","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2465","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","32","demo"
"3237","","same-different","2","5","71539","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2936","same","false","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","demo"
"1869","","same-different","3","6","78123","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2976","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","demo"
"2512","","text","0","7","81756","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","32","","","","","","",""
"1363","","same-different","0","8","86964","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","2063","same","true","The plus is above the circle.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"2829","","same-different","1","9","93732","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2199","different","true","The circle is not below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"2005","","same-different","2","10","99892","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2393","different","true","The plus is below the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"2252","","same-different","3","11","106404","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","2519","different","false","The star is not above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"3612","","same-different","4","12","113357","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","1584","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1821","","same-different","5","13","119077","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2168","different","true","The circle is not below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"3012","","same-different","6","14","125997","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","2128","same","true","The circle is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1532","","same-different","7","15","132686","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","3423","different","true","The star is not above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1677","","same-different","8","16","138254","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2177","different","true","The plus is below the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1645","","same-different","9","17","142894","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","1248","different","true","The plus is above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1068","","same-different","10","18","148519","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","78","2800","different","true","The plus is above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1630","","same-different","11","19","154279","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","2383","same","true","The plus is above the circle.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1733","","same-different","12","20","161319","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","3544","same","true","The square is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"1885","","same-different","13","21","167503","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","2529","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1541","","same-different","14","22","174608","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","3824","same","true","The circle is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"2012","","same-different","15","23","180608","0-0","70a4d4b7-415b-4727-b859-cc60b6a48e50","","67","2232","same","true","The square is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
