"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"75067","{""What is your age? (numeric)"":""21"",""What is your gender? (\""Male\""/\""Female\"")"":""Female""}","survey-text","0","0","75087","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","","","","","","","",""
"40887","","instructions","0","1","116982","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","[{""page_index"":0,""viewing_time"":40885}]","","","","","","","",""
"5362","","text","0","2","123423","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","","","","","","",""
"1315","","same-different","0","3","131371","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","4917","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","67","demo"
"1230","","same-different","1","4","135675","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","1290","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","78","demo"
"2720","","same-different","2","5","144334","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","4200","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","67","demo"
"2472","","same-different","3","6","150232","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","1684","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","67","demo"
"3950","","text","0","7","155267","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","","","","","","",""
"1339","","same-different","0","8","159607","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","1304","different","true","The star is below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","78","real"
"2594","","same-different","1","9","165340","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","1410","different","true","The plus is not above the square.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","78","real"
"1161","","same-different","2","10","169283","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","991","same","true","The plus is above the circle.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","78","real"
"2489","","same-different","3","11","175161","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","1645","same","true","The circle is below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","67","real"
"2345","","same-different","4","12","180611","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","1342","different","true","The star is below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","67","real"
"1332","","same-different","5","13","187714","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","4003","same","true","The plus is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","78","real"
"2346","","same-different","6","14","196130","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","4309","same","true","The star is not below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"3305","","same-different","7","15","203808","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","2664","different","true","The circle is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","78","real"
"2163","","same-different","8","16","208637","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","954","same","true","The plus is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","78","real"
"1644","","same-different","9","17","212865","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","836","different","true","The square is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"1483","","same-different","10","18","226215","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","10163","different","true","The plus is not above the square.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","78","real"
"1969","","same-different","11","19","233904","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","4044","same","true","The circle is below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","78","real"
"2254","","same-different","12","20","238969","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","1075","different","true","The circle is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","67","real"
"1375","","same-different","13","21","243652","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","1558","same","true","The star is not below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","78","real"
"891","","same-different","14","22","252303","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","67","5962","same","true","The plus is above the circle.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","67","real"
"1294","","same-different","15","23","256729","0-0","9998f845-e913-45a6-9b70-ad4ebb1f9512","","78","1386","different","true","The square is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
