"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"16838","{""What is your age? (numeric)"":""19"",""What is your gender? (\""Male\""/\""Female\"")"":""Female""}","survey-text","0","0","16853","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","","","","","","","",""
"34282","","instructions","0","1","52140","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","[{""page_index"":0,""viewing_time"":34279}]","","","","","","","",""
"3567","","text","0","2","56749","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","72","","","","","","",""
"8660","","same-different","0","3","74439","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","7191","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","67","demo"
"4361","","same-different","1","4","84922","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","4307","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","72","demo"
"2589","","same-different","2","5","92544","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","3193","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","72","demo"
"2352","","same-different","3","6","98025","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","1346","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","70","demo"
"1541","","text","0","7","100643","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","72","","","","","","",""
"30897","","same-different","0","8","135418","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","2212","same","true","The circle is not above the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","72","real"
"4259","","same-different","1","9","144207","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","2761","same","true","The circle is not above the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","72","real"
"2462","","same-different","2","10","149914","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","1535","different","true","The star is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","71","real"
"2595","","same-different","3","11","156461","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","2192","different","true","The star is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","72","real"
"2655","","same-different","4","12","165140","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","4231","different","true","The star is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","74","real"
"7993","","same-different","5","13","176603","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","1775","different","true","The star is not above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","74","real"
"2233","","same-different","6","14","180979","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","287","same","true","The star is below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","74","real"
"4007","","same-different","7","15","189077","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","2189","different","true","The star is not above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","72","real"
"1083","","same-different","8","16","192830","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","926","same","true","The star is above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","74","real"
"3119","","same-different","9","17","199995","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","2186","different","true","The star is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","72","real"
"3838","","same-different","10","18","207508","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","1818","different","true","The square is below the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","74","real"
"3148","","same-different","11","19","214541","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","78","2117","different","true","The square is below the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","74","real"
"3216","","same-different","12","20","222173","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","2466","same","true","The plus is not below the square.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","74","real"
"1568","","same-different","13","21","226965","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","1374","same","true","The star is below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","72","real"
"1952","","same-different","14","22","231633","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","915","same","true","The star is above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","72","real"
"2965","","same-different","15","23","238057","0-0","9bf1d07a-06ee-481c-a8fc-df5f707b2863","","67","1725","same","true","The plus is not below the square.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","72","real"
