"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"142487","{""What is your age? (numeric)"":""21"",""What is your gender? (\""Male\""/\""Female\"")"":""Female""}","survey-text","0","0","142500","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","","","","","","","",""
"30041","","instructions","0","1","173548","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","[{""page_index"":0,""viewing_time"":30039}]","","","","","","","",""
"3609","","text","0","2","178270","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","32","","","","","","",""
"1826","","same-different","0","3","190150","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","8373","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","32","demo"
"2177","","same-different","1","4","197293","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","3164","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","32","demo"
"1267","","same-different","2","5","202997","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","2677","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","demo"
"5601","","same-different","3","6","212669","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","2413","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","demo"
"2232","","text","0","7","216062","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","32","","","","","","",""
"1402","","same-different","0","8","221093","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","1950","different","true","The circle is above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1129","","same-different","1","9","225645","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","1719","same","true","The circle is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1555","","same-different","2","10","233704","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","4798","same","true","The square is not below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"2603","","same-different","3","11","241220","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","3193","different","true","The circle is not below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1220","","same-different","4","12","246005","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","1837","different","false","The star is not above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1051","","same-different","5","13","250125","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","1350","same","true","The star is above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"3259","","same-different","6","14","262260","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","7215","same","false","The circle is not above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"2697","","same-different","7","15","268332","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","1606","same","true","The circle is not above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"2569","","same-different","8","16","274980","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","2334","different","true","The circle is above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"3643","","same-different","9","17","282100","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","1629","different","true","The plus is below the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"3162","","same-different","10","18","294693","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","7614","same","true","The square is not below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1721","","same-different","11","19","300508","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","2275","different","true","The circle is not below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"5035","","same-different","12","20","309729","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","2308","different","true","The plus is below the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"2523","","same-different","13","21","323411","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","9447","same","true","The circle is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"3299","","same-different","14","22","332236","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","78","3581","different","true","The star is not above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"2324","","same-different","15","23","340891","0-0","a31fda75-0f09-4e94-8dc7-4b958ab01f5d","","67","4445","same","true","The star is above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
