"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"77688","{""What is your age? (numeric)"":""50"",""What is your gender? (\""Male\""/\""Female\"")"":""male""}","survey-text","0","0","77701","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","","","","","","","",""
"89664","","instructions","0","1","168372","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","[{""page_index"":0,""viewing_time"":89662}]","","","","","","","",""
"10799","","text","0","2","180315","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","88","","","","","","",""
"2744","","same-different","0","3","207426","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","22609","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","88","demo"
"2315","","same-different","1","4","218647","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","7221","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","32","demo"
"1742","","same-different","2","5","229356","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","7320","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","demo"
"2615","","same-different","3","6","241960","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","8308","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","demo"
"13889","","text","0","7","256920","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","32","","","","","","",""
"2144","","same-different","0","8","265434","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","4533","different","true","The star is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1935","","same-different","1","9","275758","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","6190","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"1474","","same-different","2","10","287258","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","8377","same","true","The star is not below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1581","","same-different","3","11","294991","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","4505","same","true","The star is not above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1721","","same-different","4","12","313640","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","15246","different","true","The star is not above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1142","","same-different","5","13","323154","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","6728","same","true","The star is not above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1496","","same-different","6","14","335187","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","8857","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"1380","","same-different","7","15","345036","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","6823","same","true","The star is not below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1748","","same-different","8","16","353515","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","5041","different","true","The star is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1903","","same-different","9","17","369255","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","12261","different","true","The star is not above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1719","","same-different","10","18","382728","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","10003","same","true","The circle is below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1355","","same-different","11","19","388567","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","2765","different","true","The plus is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1597","","same-different","12","20","395008","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","78","3195","different","true","The plus is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"2433","","same-different","13","21","402577","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","3453","same","true","The star is above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"2207","","same-different","14","22","411312","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","4859","same","true","The star is above the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1669","","same-different","15","23","418139","0-0","c5656654-ba45-4d66-8908-c90ef76aaa63","","67","3491","same","true","The circle is below the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
