"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"61181","{""What is your age? (numeric)"":""null"",""What is your gender? (\""Male\""/\""Female\"")"":""null""}","survey-text","0","0","61210","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","","","","","","","",""
"11514","","instructions","0","1","73779","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","[{""page_index"":0,""viewing_time"":11511}]","","","","","","","",""
"3254","","text","0","2","78154","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","","","","","","",""
"3466","","same-different","0","3","87741","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","4324","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","67","demo"
"13031","","same-different","1","4","111661","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","4261","different","false","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","91","demo"
"670","","same-different","2","5","145598","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","31524","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","67","demo"
"39","","same-different","3","6","148287","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","885","different","false","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","67","demo"
"166","","text","0","7","149543","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","","","","","","",""
"98","","same-different","0","8","151934","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","619","different","false","The plus is below the square.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"8","","same-different","1","9","154294","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","662","same","true","The square is below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"42","","same-different","2","10","156711","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","734","different","false","The circle is not above the star.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","67","real"
"51","","same-different","3","11","158487","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","77","same","true","The square is not below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","67","real"
"64","","same-different","4","12","160343","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","138","different","false","The plus is below the square.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"33","","same-different","5","13","162047","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","36","same","true","The circle is not above the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","67","real"
"3","","same-different","6","14","163767","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","59","different","false","The plus is not below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","67","real"
"160","","same-different","7","15","165639","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","12","same","true","The square is not below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","67","real"
"335","","same-different","8","16","167719","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","69","different","false","The plus is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","67","real"
"2096","","same-different","9","17","186336","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","94","same","true","The circle is not above the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","17","real"
"38","","same-different","10","18","188480","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","339","same","true","The circle is above the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"210","","same-different","11","19","190544","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","172","different","false","The plus is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","67","real"
"77","","same-different","12","20","192416","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","117","different","false","The plus is not below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","67","real"
"322","","same-different","13","21","194472","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","29","different","false","The circle is not above the star.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","67","real"
"438","","same-different","14","22","196817","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","173","same","true","The circle is above the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"1154","","same-different","15","23","200136","0-0","cc63acf7-7b56-4b5c-91f2-b818547be6fa","","67","458","same","true","The square is below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
