"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"17267","{""What is your age? (numeric)"":""50"",""What is your gender? (\""Male\""/\""Female\"")"":""Female""}","survey-text","0","0","17290","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","","","","","","","",""
"83744","","instructions","0","1","102044","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","[{""page_index"":0,""viewing_time"":83742}]","","","","","","","",""
"10918","","text","0","2","114054","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","75","","","","","","",""
"4213","","same-different","0","3","132271","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","12278","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","76","demo"
"2636","","same-different","1","4","144961","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","8331","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","75","demo"
"3230","","same-different","2","5","155191","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","5347","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","75","demo"
"2296","","same-different","3","6","166456","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","7255","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","68","demo"
"2407","","text","0","7","169959","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","68","","","","","","",""
"4292","","same-different","0","8","181936","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","5970","same","true","The star is not below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","68","real"
"4083","","same-different","1","9","194557","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","6869","same","true","The circle is below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","68","real"
"7127","","same-different","2","10","212168","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","8752","same","true","The plus is not above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","68","real"
"6512","","same-different","3","11","225935","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","5551","different","true","The circle is below the plus.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","68","real"
"5172","","same-different","4","12","240158","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","7340","different","true","The star is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","68","real"
"3343","","same-different","5","13","253682","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","8459","different","true","The square is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","68","real"
"1830","","same-different","6","14","260953","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","3714","different","true","The circle is below the plus.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","72","real"
"4302","","same-different","7","15","272560","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","5618","same","true","The star is not below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","74","real"
"2300","","same-different","8","16","278839","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","2323","same","true","The plus is above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","72","real"
"3361","","same-different","9","17","286997","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","3137","different","true","The square is above the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","67","real"
"1684","","same-different","10","18","293256","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","2896","same","true","The plus is above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","70","real"
"5308","","same-different","11","19","303386","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","3130","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","70","real"
"3738","","same-different","12","20","313392","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","4579","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","72","real"
"1727","","same-different","13","21","320295","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","3463","same","true","The circle is below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","72","real"
"5054","","same-different","14","22","330856","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","78","3838","different","true","The star is not below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","72","real"
"3762","","same-different","15","23","341725","0-0","d3ec717a-1368-4f54-98c5-bfe64bbf547a","","67","5408","same","true","The plus is not above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","72","real"
