"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"8203","{""What is your age? (numeric)"":""20"",""What is your gender? (\""Male\""/\""Female\"")"":""female""}","survey-text","0","0","8219","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","","","","","","","",""
"29258","","instructions","0","1","38492","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","[{""page_index"":0,""viewing_time"":29256}]","","","","","","","",""
"2540","","text","0","2","42163","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","40","","","","","","",""
"2570","","same-different","0","3","53465","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","6907","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","40","demo"
"2172","","same-different","1","4","62819","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","5368","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","40","demo"
"2626","","same-different","2","5","73192","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","5979","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","demo"
"1376","","same-different","3","6","82625","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","6329","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","78","demo"
"1658","","text","0","7","85452","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","32","","","","","","",""
"3297","","same-different","0","8","92186","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","1594","same","true","The square is below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"1859","","same-different","1","9","101028","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","5211","different","true","The square is not above the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1547","","same-different","2","10","109310","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","4972","same","true","The circle is not below the plus.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"610","","same-different","3","11","114057","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","2391","same","true","The circle is above the plus.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"469","","same-different","4","12","120215","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","3891","same","true","The circle is above the plus.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"943","","same-different","5","13","125067","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","2111","different","true","The plus is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"2766","","same-different","6","14","131611","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","1945","same","true","The square is below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"752","","same-different","7","15","138395","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","4265","same","true","The square is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"734","","same-different","8","16","148246","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","7320","same","true","The square is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"1327","","same-different","9","17","152673","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","1328","different","true","The plus is below the circle.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1243","","same-different","10","18","157124","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","1504","same","false","The circle is not below the plus.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1120","","same-different","11","19","162289","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","2297","different","true","The square is not below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"1681","","same-different","12","20","167357","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","67","1558","different","false","The square is not above the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"908","","same-different","13","21","174269","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","4238","different","true","The plus is below the circle.","<img src=""img/plus.png""></img><br><br><br><img src=""img/circle.png""></img>","32","real"
"1173","","same-different","14","22","179815","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","2580","different","true","The plus is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1142","","same-different","15","23","184683","0-0","eaf44b2a-e02a-407a-be17-cdf871cabcdb","","78","1933","different","true","The square is not below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
