"rt","responses","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject_id","view_history","key_press","rt_stim1","answer","correct","stimulus_1","stimulus_2","key_press_stim1","environment"
"7877","{""What is your age? (numeric)"":""19"",""What is your gender? (\""Male\""/\""Female\"")"":""Female""}","survey-text","0","0","7881","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","","","","","","","",""
"36592","","instructions","0","1","45480","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","[{""page_index"":0,""viewing_time"":36591}]","","","","","","","",""
"1158","","text","0","2","48026","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","40","","","","","","",""
"1858","","same-different","0","3","59816","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","8171","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","40","demo"
"1737","","same-different","1","4","67458","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","4199","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","40","demo"
"1038","","same-different","2","5","73312","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","3179","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","40","demo"
"1791","","same-different","3","6","80201","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","3366","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","40","demo"
"5886","","text","0","7","87225","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","40","","","","","","",""
"1857","","same-different","0","8","96451","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","5615","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","40","real"
"966","","same-different","1","9","101163","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","2010","same","true","The star is above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","40","real"
"1057","","same-different","2","10","108742","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","4781","different","true","The square is above the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","40","real"
"2927","","same-different","3","11","115725","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","2133","different","true","The square is above the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","40","real"
"1567","","same-different","4","12","123664","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","4638","different","true","The square is below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","40","real"
"998","","same-different","5","13","129430","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","3036","same","true","The star is not below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","40","real"
"816","","same-different","6","14","134733","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","2738","same","true","The square is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","40","real"
"1058","","same-different","7","15","140490","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","2996","same","true","The star is above the plus.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","40","real"
"1204","","same-different","8","16","147151","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","3748","different","true","The plus is not below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","40","real"
"991","","same-different","9","17","155711","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","5806","different","true","The plus is not below the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","40","real"
"1226","","same-different","10","18","164474","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","5801","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","40","real"
"1026","","same-different","11","19","178860","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","11655","same","true","The star is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","40","real"
"2426","","same-different","12","20","186570","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","3571","same","true","The star is not above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/star.png""></img>","40","real"
"3934","","same-different","13","21","200550","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","78","8361","different","true","The square is below the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","40","real"
"1542","","same-different","14","22","208427","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","4642","same","true","The square is below the plus.","<img src=""img/plus.png""></img><br><br><br><img src=""img/square.png""></img>","40","real"
"1185","","same-different","15","23","214627","0-0","342d56f9-afc5-40f0-a9c3-596a2dda8a67","","67","3310","same","true","The star is not below the circle.","<img src=""img/star.png""></img><br><br><br><img src=""img/circle.png""></img>","40","real"
"17436","{""What is your age? (numeric)"":""22"",""What is your gender? (\""Male\""/\""Female\"")"":""Male""}","survey-text","0","0","17452","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","","","","","","","",""
"26713","","instructions","0","1","45180","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","[{""page_index"":0,""viewing_time"":26711}]","","","","","","","",""
"2930","","text","0","2","49240","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","32","","","","","","",""
"1482","","same-different","0","3","63254","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","10789","same","true","The square is above the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","32","demo"
"1026","","same-different","1","4","67616","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","1562","different","true","The star is below the square.","<img src=""img/star.png""></img><br><br><br><img src=""img/square.png""></img>","32","demo"
"1002","","same-different","2","5","75061","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","4657","same","true","The square is not below the circle.","<img src=""img/square.png""></img><br><br><br><img src=""img/circle.png""></img>","32","demo"
"1227","","same-different","3","6","80249","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","2172","different","true","The plus is not above the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","demo"
"5163","","text","0","7","86577","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","32","","","","","","",""
"869","","same-different","0","8","92552","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","3368","same","true","The square is above the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"427","","same-different","1","9","98144","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","3441","same","true","The plus is not below the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1032","","same-different","2","10","102870","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","1949","same","true","The plus is below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"616","","same-different","3","11","107422","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","2151","different","true","The plus is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1814","","same-different","4","12","114812","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","3789","different","true","The circle is not above the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"923","","same-different","5","13","119553","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","2107","different","true","The square is below the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"668","","same-different","6","14","125577","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","3560","same","true","The star is not above the square.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"804","","same-different","7","15","129449","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","1291","same","true","The square is above the star.","<img src=""img/square.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"1858","","same-different","8","16","135393","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","2351","different","true","The circle is not above the square.","<img src=""img/circle.png""></img><br><br><br><img src=""img/square.png""></img>","32","real"
"1181","","same-different","9","17","139513","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","1199","different","true","The square is below the plus.","<img src=""img/square.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"846","","same-different","10","18","154978","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","12873","different","true","The plus is not below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"650","","same-different","11","19","162066","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","4690","same","true","The plus is not below the star.","<img src=""img/plus.png""></img><br><br><br><img src=""img/star.png""></img>","32","real"
"813","","same-different","12","20","165786","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","67","1169","same","true","The plus is below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"1025","","same-different","13","21","172714","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","4128","different","true","The plus is not below the star.","<img src=""img/star.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
"962","","same-different","14","22","176410","0-0","58a0d85e-7698-4bb7-9e50-492d410d36b0","","78","994","different","true","The plus is above the circle.","<img src=""img/circle.png""></img><br><br><br><img src=""img/plus.png""></img>","32","real"
